series_id,game_num,blue_team,red_team,team,opp_team,side,player,champion,draft_champion,role,pick_order,pick_turn_global,pick_phase,win,result
2883360,4,DK,DRX,DK,DRX,Blue,Siwoo,Jax,Vi,TOP,1,7.0,1.0,True,Win
2883360,4,DK,DRX,DRX,DK,Red,Rich,Sion,Galio,TOP,2,8.0,1.0,False,Loss
2883360,4,DK,DRX,DRX,DK,Red,Willer,Naafiri,Naafiri,JGL,3,9.0,1.0,False,Loss
2883360,4,DK,DRX,DK,DRX,Blue,Lucid,Vi,Jax,JGL,4,10.0,1.0,True,Win
2883360,4,DK,DRX,DK,DRX,Blue,ShowMaker,Taliyah,Taliyah,MID,5,11.0,1.0,True,Win
2883360,4,DK,DRX,DRX,DK,Red,Ucal,Galio,Sion,MID,6,12.0,1.0,False,Loss
2883360,4,DK,DRX,DRX,DK,Red,Jiwoo,Kalista,Kalista,BOT,7,17.0,2.0,False,Loss
2883360,4,DK,DRX,DK,DRX,Blue,Smash,Ziggs,Ziggs,BOT,8,18.0,2.0,True,Win
2883360,4,DK,DRX,DK,DRX,Blue,Career,Rakan,Rakan,SUP,9,19.0,2.0,True,Win
2883360,4,DK,DRX,DRX,DK,Red,Andil,Renata,Renata Glasc,SUP,10,20.0,2.0,False,Loss
2883360,5,DK,DRX,DRX,DK,Red,Rich,Rumble,Rumble,TOP,1,7.0,1.0,False,Loss
2883360,5,DK,DRX,DK,DRX,Blue,Siwoo,Gwen,Gwen,TOP,2,8.0,1.0,True,Win
2883360,5,DK,DRX,DK,DRX,Blue,Lucid,LeeSin,Lee Sin,JGL,3,9.0,1.0,True,Win
2883360,5,DK,DRX,DRX,DK,Red,Willer,Sejuani,Aphelios,JGL,4,10.0,1.0,False,Loss
2883360,5,DK,DRX,DRX,DK,Red,Ucal,Tristana,Lulu,MID,5,11.0,1.0,False,Loss
2883360,5,DK,DRX,DK,DRX,Blue,ShowMaker,TwistedFate,Twisted Fate,MID,6,12.0,1.0,True,Win
2883360,5,DK,DRX,DK,DRX,Blue,Smash,Jinx,Jinx,BOT,7,17.0,2.0,True,Win
2883360,5,DK,DRX,DRX,DK,Red,Jiwoo,Aphelios,Sejuani,BOT,8,18.0,2.0,False,Loss
2883360,5,DK,DRX,DRX,DK,Red,Andil,Lulu,Tristana,SUP,9,19.0,2.0,False,Loss
2883360,5,DK,DRX,DK,DRX,Blue,Career,Thresh,Pyke,SUP,10,20.0,2.0,True,Win
2883361,1,BFX,T1,T1,BFX,Red,Doran,Ornn,Azir,TOP,1,7.0,1.0,False,Loss
2883361,1,BFX,T1,BFX,T1,Blue,Clear,Rumble,Rumble,TOP,2,8.0,1.0,True,Win
2883361,1,BFX,T1,BFX,T1,Blue,Raptor,Pantheon,Pantheon,JGL,3,9.0,1.0,True,Win
2883361,1,BFX,T1,T1,BFX,Red,Oner,XinZhao,Ornn,JGL,4,10.0,1.0,False,Loss
2883361,1,BFX,T1,T1,BFX,Red,Faker,Azir,Xin Zhao,MID,5,11.0,1.0,False,Loss
